batting_team,bowling_team,venue,overs,current_score,wickets,runs_last_5_overs,wickets_last_5_overs,total_score
Delhi Capitals,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,7.7,86,1,58,0,185
Sunrisers Hyderabad,Gujarat Titans,Punjab Cricket Association Stadium,5.4,32,1,54,1,198
Delhi Capitals,Sunrisers Hyderabad,Arun Jaitley Stadium,8.1,58,2,52,2,189
Delhi Capitals,Mumbai Indians,M Chinnaswamy Stadium,9.3,69,2,41,1,137
Delhi Capitals,Royal Challengers Bangalore,Feroz Shah Kotla,18.4,190,3,36,2,206
Sunrisers Hyderabad,Kolkata Knight Riders,Rajiv Gandhi International Stadium,11.6,87,1,60,1,160
Royal Challengers Bangalore,Kolkata Knight Riders,MA Chidambaram Stadium,14.8,119,1,56,0,176
Punjab Kings,Lucknow Super Giants,Eden Gardens,17.0,113,3,51,0,128
Chennai Super Kings,Sunrisers Hyderabad,Sawai Mansingh Stadium,5.0,28,4,49,0,145
Kolkata Knight Riders,Royal Challengers Bangalore,MA Chidambaram Stadium,18.5,117,1,41,0,128
Kolkata Knight Riders,Chennai Super Kings,Wankhede Stadium,7.5,57,3,43,0,137
Delhi Capitals,Gujarat Titans,Arun Jaitley Stadium,17.4,156,1,45,0,186
Rajasthan Royals,Gujarat Titans,M Chinnaswamy Stadium,17.8,99,2,64,1,113
Royal Challengers Bangalore,Delhi Capitals,M Chinnaswamy Stadium,16.6,155,2,68,1,183
Lucknow Super Giants,Kolkata Knight Riders,Sawai Mansingh Stadium,16.3,120,2,57,1,141
Lucknow Super Giants,Mumbai Indians,Sawai Mansingh Stadium,18.9,152,3,58,2,158
Chennai Super Kings,Gujarat Titans,Eden Gardens,6.2,45,4,32,1,115
Chennai Super Kings,Mumbai Indians,MA Chidambaram Stadium,12.2,135,1,64,0,180
Mumbai Indians,Rajasthan Royals,M Chinnaswamy Stadium,17.3,191,8,63,1,205
Delhi Capitals,Chennai Super Kings,Wankhede Stadium,5.8,49,2,67,1,162
Gujarat Titans,Kolkata Knight Riders,MA Chidambaram Stadium,12.5,117,4,54,2,157
Mumbai Indians,Royal Challengers Bangalore,Arun Jaitley Stadium,9.1,63,1,59,0,146
Lucknow Super Giants,Delhi Capitals,MA Chidambaram Stadium,12.7,82,1,44,1,143
Mumbai Indians,Gujarat Titans,M Chinnaswamy Stadium,15.2,179,3,26,1,204
Punjab Kings,Rajasthan Royals,Sawai Mansingh Stadium,8.4,67,3,66,1,189
Lucknow Super Giants,Rajasthan Royals,Sawai Mansingh Stadium,15.3,83,0,32,0,128
Punjab Kings,Gujarat Titans,M Chinnaswamy Stadium,6.4,73,3,45,0,210
Gujarat Titans,Chennai Super Kings,Eden Gardens,12.5,69,1,67,1,113
Delhi Capitals,Rajasthan Royals,Arun Jaitley Stadium,19.1,97,2,56,2,102
Rajasthan Royals,Royal Challengers Bangalore,Eden Gardens,13.2,124,3,63,1,195
Sunrisers Hyderabad,Punjab Kings,MA Chidambaram Stadium,13.4,148,3,26,0,187
Sunrisers Hyderabad,Chennai Super Kings,Eden Gardens,8.7,62,2,26,1,152
Rajasthan Royals,Royal Challengers Bangalore,M Chinnaswamy Stadium,14.2,153,5,32,2,203
Punjab Kings,Royal Challengers Bangalore,Wankhede Stadium,10.9,130,1,51,0,183
Delhi Capitals,Mumbai Indians,MA Chidambaram Stadium,16.9,117,2,68,0,144
Chennai Super Kings,Sunrisers Hyderabad,Arun Jaitley Stadium,13.8,123,4,49,3,178
Sunrisers Hyderabad,Kolkata Knight Riders,MA Chidambaram Stadium,18.7,129,2,35,0,138
Royal Challengers Bangalore,Sunrisers Hyderabad,Arun Jaitley Stadium,19.0,187,1,41,0,193
Delhi Capitals,Rajasthan Royals,Feroz Shah Kotla,18.1,216,1,39,1,230
Rajasthan Royals,Mumbai Indians,Punjab Cricket Association Stadium,7.9,82,5,35,1,158
Gujarat Titans,Sunrisers Hyderabad,Arun Jaitley Stadium,13.4,115,3,54,0,149
Chennai Super Kings,Delhi Capitals,Eden Gardens,13.0,74,0,32,0,148
Royal Challengers Bangalore,Rajasthan Royals,Sawai Mansingh Stadium,7.6,70,4,64,0,189
Gujarat Titans,Delhi Capitals,Sawai Mansingh Stadium,9.1,69,1,57,1,149
Mumbai Indians,Kolkata Knight Riders,MA Chidambaram Stadium,5.7,28,2,33,0,184
Lucknow Super Giants,Chennai Super Kings,Narendra Modi Stadium,7.0,61,2,39,0,161
Kolkata Knight Riders,Sunrisers Hyderabad,Punjab Cricket Association Stadium,7.7,68,3,62,0,180
Punjab Kings,Kolkata Knight Riders,M Chinnaswamy Stadium,16.0,126,2,27,0,151
Rajasthan Royals,Royal Challengers Bangalore,Arun Jaitley Stadium,12.3,134,5,28,1,198
Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,19.4,166,1,25,1,172
Rajasthan Royals,Mumbai Indians,M Chinnaswamy Stadium,12.3,140,2,63,1,189
Rajasthan Royals,Chennai Super Kings,M Chinnaswamy Stadium,18.4,96,3,41,2,112
Punjab Kings,Rajasthan Royals,Wankhede Stadium,11.4,75,2,37,0,143
Royal Challengers Bangalore,Sunrisers Hyderabad,Wankhede Stadium,17.0,87,6,29,0,107
Delhi Capitals,Mumbai Indians,Narendra Modi Stadium,15.5,150,1,51,1,188
Royal Challengers Bangalore,Kolkata Knight Riders,Sawai Mansingh Stadium,9.9,69,1,29,0,128
Mumbai Indians,Punjab Kings,Wankhede Stadium,7.7,78,5,58,2,149
Kolkata Knight Riders,Royal Challengers Bangalore,MA Chidambaram Stadium,7.5,69,4,63,1,167
Royal Challengers Bangalore,Rajasthan Royals,MA Chidambaram Stadium,8.4,74,4,48,0,160
Rajasthan Royals,Delhi Capitals,M Chinnaswamy Stadium,5.0,36,3,29,1,155
Kolkata Knight Riders,Chennai Super Kings,MA Chidambaram Stadium,17.1,159,5,45,0,180
Mumbai Indians,Lucknow Super Giants,Narendra Modi Stadium,12.3,70,3,55,0,133
Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,11.5,110,0,47,0,180
Chennai Super Kings,Kolkata Knight Riders,Sawai Mansingh Stadium,18.9,118,3,58,1,125
Gujarat Titans,Rajasthan Royals,M Chinnaswamy Stadium,10.2,110,0,38,0,205
Lucknow Super Giants,Kolkata Knight Riders,Feroz Shah Kotla,7.9,63,4,25,1,182
Delhi Capitals,Rajasthan Royals,Feroz Shah Kotla,17.7,125,2,41,0,145
Rajasthan Royals,Kolkata Knight Riders,MA Chidambaram Stadium,7.4,80,3,25,1,183
Delhi Capitals,Rajasthan Royals,Wankhede Stadium,18.0,212,2,32,1,228
Sunrisers Hyderabad,Delhi Capitals,Sawai Mansingh Stadium,9.5,87,2,27,0,157
Rajasthan Royals,Sunrisers Hyderabad,Eden Gardens,17.9,96,2,27,0,119
Rajasthan Royals,Chennai Super Kings,Narendra Modi Stadium,14.6,110,2,54,1,166
Chennai Super Kings,Sunrisers Hyderabad,Punjab Cricket Association Stadium,6.8,44,0,31,0,211
Sunrisers Hyderabad,Rajasthan Royals,Narendra Modi Stadium,17.7,182,6,59,0,194
Gujarat Titans,Kolkata Knight Riders,Eden Gardens,6.6,76,2,68,0,211
Delhi Capitals,Rajasthan Royals,Arun Jaitley Stadium,17.4,140,4,64,1,163
Sunrisers Hyderabad,Mumbai Indians,Narendra Modi Stadium,7.7,80,3,62,0,148
Punjab Kings,Rajasthan Royals,Arun Jaitley Stadium,19.4,135,2,58,2,141
Kolkata Knight Riders,Mumbai Indians,Punjab Cricket Association Stadium,8.4,68,2,40,1,135
Mumbai Indians,Lucknow Super Giants,Sawai Mansingh Stadium,14.9,119,2,52,0,170
Gujarat Titans,Kolkata Knight Riders,Punjab Cricket Association Stadium,19.4,169,2,63,0,173
Sunrisers Hyderabad,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,11.5,114,2,41,1,193
Royal Challengers Bangalore,Mumbai Indians,Narendra Modi Stadium,7.4,39,2,60,0,151
Kolkata Knight Riders,Lucknow Super Giants,Feroz Shah Kotla,12.2,141,2,49,2,195
Sunrisers Hyderabad,Lucknow Super Giants,MA Chidambaram Stadium,11.0,73,2,63,1,150
Gujarat Titans,Kolkata Knight Riders,Narendra Modi Stadium,6.2,70,2,45,0,174
Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,16.6,179,3,65,0,208
Mumbai Indians,Sunrisers Hyderabad,Sawai Mansingh Stadium,13.4,118,2,49,1,185
Sunrisers Hyderabad,Punjab Kings,Narendra Modi Stadium,10.8,68,1,48,0,141
Lucknow Super Giants,Rajasthan Royals,Wankhede Stadium,13.7,121,2,45,2,155
Royal Challengers Bangalore,Delhi Capitals,Wankhede Stadium,18.5,160,3,68,1,168
Punjab Kings,Gujarat Titans,Wankhede Stadium,8.0,82,1,67,0,150
Chennai Super Kings,Lucknow Super Giants,Rajiv Gandhi International Stadium,8.4,55,4,49,0,111
Gujarat Titans,Mumbai Indians,Rajiv Gandhi International Stadium,18.6,117,2,25,0,127
Gujarat Titans,Chennai Super Kings,Rajiv Gandhi International Stadium,14.9,98,3,31,1,126
Kolkata Knight Riders,Sunrisers Hyderabad,Wankhede Stadium,11.2,57,0,46,0,161
Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,13.7,112,2,65,1,149
Sunrisers Hyderabad,Royal Challengers Bangalore,Feroz Shah Kotla,7.1,68,5,48,1,157
Royal Challengers Bangalore,Punjab Kings,Feroz Shah Kotla,14.3,132,4,35,0,174
Royal Challengers Bangalore,Lucknow Super Giants,Wankhede Stadium,13.6,160,2,28,1,217
Punjab Kings,Rajasthan Royals,Punjab Cricket Association Stadium,15.0,124,5,26,0,152
Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,19.1,170,3,67,2,178
Chennai Super Kings,Mumbai Indians,Feroz Shah Kotla,7.6,68,4,59,0,166
Sunrisers Hyderabad,Rajasthan Royals,Feroz Shah Kotla,6.2,72,1,30,1,192
Mumbai Indians,Sunrisers Hyderabad,Arun Jaitley Stadium,6.6,58,3,31,1,138
Kolkata Knight Riders,Lucknow Super Giants,Rajiv Gandhi International Stadium,8.1,72,2,45,1,150
Rajasthan Royals,Gujarat Titans,M Chinnaswamy Stadium,18.7,218,3,40,0,231
Gujarat Titans,Kolkata Knight Riders,Narendra Modi Stadium,16.4,165,3,64,0,184
Delhi Capitals,Rajasthan Royals,Wankhede Stadium,14.5,138,1,69,1,171
Punjab Kings,Lucknow Super Giants,Narendra Modi Stadium,9.0,60,1,50,0,181
Lucknow Super Giants,Gujarat Titans,Eden Gardens,7.7,63,0,46,0,220
Sunrisers Hyderabad,Lucknow Super Giants,Wankhede Stadium,16.5,139,1,59,0,171
Mumbai Indians,Royal Challengers Bangalore,Eden Gardens,16.8,174,8,40,0,187
Chennai Super Kings,Kolkata Knight Riders,MA Chidambaram Stadium,8.2,81,1,56,0,167
Sunrisers Hyderabad,Chennai Super Kings,Arun Jaitley Stadium,14.1,145,7,68,2,175
Lucknow Super Giants,Royal Challengers Bangalore,Arun Jaitley Stadium,8.9,62,2,39,0,160
Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,8.7,59,2,32,0,186
Mumbai Indians,Sunrisers Hyderabad,Feroz Shah Kotla,10.8,99,2,26,1,155
Gujarat Titans,Sunrisers Hyderabad,M Chinnaswamy Stadium,15.0,179,5,30,1,203
Royal Challengers Bangalore,Gujarat Titans,Punjab Cricket Association Stadium,11.2,66,3,31,2,123
Royal Challengers Bangalore,Sunrisers Hyderabad,Punjab Cricket Association Stadium,17.6,96,3,38,0,119
Delhi Capitals,Punjab Kings,Feroz Shah Kotla,15.5,150,3,60,0,188
Kolkata Knight Riders,Punjab Kings,MA Chidambaram Stadium,17.8,139,0,48,0,162
Mumbai Indians,Lucknow Super Giants,Feroz Shah Kotla,18.8,157,2,36,2,164
Sunrisers Hyderabad,Royal Challengers Bangalore,Sawai Mansingh Stadium,14.9,154,5,30,1,181
Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,16.8,156,4,63,0,185
Mumbai Indians,Royal Challengers Bangalore,Feroz Shah Kotla,7.0,63,6,32,0,127
Sunrisers Hyderabad,Kolkata Knight Riders,Wankhede Stadium,7.1,63,1,26,1,211
Mumbai Indians,Rajasthan Royals,M Chinnaswamy Stadium,6.0,71,2,59,2,168
Punjab Kings,Lucknow Super Giants,Narendra Modi Stadium,6.4,41,2,44,2,194
Lucknow Super Giants,Chennai Super Kings,Narendra Modi Stadium,16.4,192,1,43,1,218
Mumbai Indians,Sunrisers Hyderabad,Narendra Modi Stadium,13.4,154,0,59,0,203
Rajasthan Royals,Royal Challengers Bangalore,Wankhede Stadium,12.9,133,4,25,0,169
Lucknow Super Giants,Kolkata Knight Riders,MA Chidambaram Stadium,17.2,117,3,37,0,132
Royal Challengers Bangalore,Delhi Capitals,M Chinnaswamy Stadium,6.1,55,1,63,1,169
Gujarat Titans,Sunrisers Hyderabad,Narendra Modi Stadium,15.9,87,1,46,1,126
Chennai Super Kings,Gujarat Titans,Feroz Shah Kotla,12.3,146,4,34,1,220
Kolkata Knight Riders,Rajasthan Royals,M Chinnaswamy Stadium,7.2,77,2,51,0,196
Kolkata Knight Riders,Sunrisers Hyderabad,Punjab Cricket Association Stadium,5.2,28,1,61,1,167
Delhi Capitals,Kolkata Knight Riders,Wankhede Stadium,16.1,113,2,26,0,148
Rajasthan Royals,Mumbai Indians,Wankhede Stadium,6.1,38,1,33,1,176
Delhi Capitals,Gujarat Titans,Wankhede Stadium,10.6,102,3,62,2,200
Gujarat Titans,Mumbai Indians,Narendra Modi Stadium,12.5,103,5,49,0,147
Delhi Capitals,Lucknow Super Giants,Rajiv Gandhi International Stadium,18.5,111,2,39,1,126
Punjab Kings,Rajasthan Royals,Sawai Mansingh Stadium,19.1,124,2,37,0,131
Punjab Kings,Rajasthan Royals,MA Chidambaram Stadium,18.9,146,6,65,2,151
Chennai Super Kings,Rajasthan Royals,M Chinnaswamy Stadium,16.4,116,3,62,1,144
Royal Challengers Bangalore,Chennai Super Kings,Arun Jaitley Stadium,9.1,66,1,69,0,174
Delhi Capitals,Chennai Super Kings,M Chinnaswamy Stadium,10.4,99,4,54,0,144
Mumbai Indians,Sunrisers Hyderabad,M Chinnaswamy Stadium,11.0,88,3,27,2,168
Lucknow Super Giants,Mumbai Indians,Arun Jaitley Stadium,12.8,106,3,31,0,167
Delhi Capitals,Mumbai Indians,Sawai Mansingh Stadium,17.7,139,4,63,0,150
Punjab Kings,Rajasthan Royals,Wankhede Stadium,6.3,62,0,47,0,227
Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,7.5,56,1,55,1,174
Kolkata Knight Riders,Gujarat Titans,Punjab Cricket Association Stadium,6.1,41,1,64,0,170
Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,11.3,92,3,27,2,138
Lucknow Super Giants,Punjab Kings,Wankhede Stadium,7.2,74,7,45,2,121
Royal Challengers Bangalore,Sunrisers Hyderabad,Eden Gardens,18.9,131,2,28,0,138
Delhi Capitals,Chennai Super Kings,Wankhede Stadium,12.1,119,4,48,0,155
Sunrisers Hyderabad,Punjab Kings,Narendra Modi Stadium,6.4,36,6,47,0,137
Royal Challengers Bangalore,Delhi Capitals,Rajiv Gandhi International Stadium,17.9,196,2,26,1,219
Kolkata Knight Riders,Punjab Kings,Feroz Shah Kotla,6.4,70,6,28,1,151
Punjab Kings,Sunrisers Hyderabad,Eden Gardens,17.0,171,2,65,0,196
Gujarat Titans,Kolkata Knight Riders,Feroz Shah Kotla,11.1,68,1,34,0,146
Sunrisers Hyderabad,Lucknow Super Giants,Feroz Shah Kotla,16.6,149,5,28,2,176
Delhi Capitals,Kolkata Knight Riders,Arun Jaitley Stadium,5.2,33,0,60,0,173
Chennai Super Kings,Sunrisers Hyderabad,Sawai Mansingh Stadium,15.2,92,1,33,1,123
Royal Challengers Bangalore,Delhi Capitals,Rajiv Gandhi International Stadium,7.7,49,1,42,1,181
Delhi Capitals,Mumbai Indians,M Chinnaswamy Stadium,15.4,90,0,64,0,122
Kolkata Knight Riders,Royal Challengers Bangalore,MA Chidambaram Stadium,5.3,49,4,38,0,126
Mumbai Indians,Gujarat Titans,Feroz Shah Kotla,6.9,40,1,68,1,153
Delhi Capitals,Mumbai Indians,Arun Jaitley Stadium,9.7,60,3,31,1,132
Delhi Capitals,Lucknow Super Giants,MA Chidambaram Stadium,6.9,56,2,44,1,195
Rajasthan Royals,Royal Challengers Bangalore,MA Chidambaram Stadium,17.2,200,3,45,3,225
Sunrisers Hyderabad,Lucknow Super Giants,Arun Jaitley Stadium,12.6,144,4,67,1,183
Gujarat Titans,Punjab Kings,MA Chidambaram Stadium,17.0,184,3,25,1,209
Punjab Kings,Gujarat Titans,Wankhede Stadium,12.3,106,1,59,0,151
Mumbai Indians,Kolkata Knight Riders,Feroz Shah Kotla,11.2,60,2,26,2,136
Punjab Kings,Lucknow Super Giants,MA Chidambaram Stadium,16.6,153,3,52,1,188
Gujarat Titans,Punjab Kings,Sawai Mansingh Stadium,12.8,124,1,59,1,190
Rajasthan Royals,Royal Challengers Bangalore,MA Chidambaram Stadium,6.3,75,1,63,1,217
Lucknow Super Giants,Royal Challengers Bangalore,Narendra Modi Stadium,11.4,109,2,31,1,175
Delhi Capitals,Kolkata Knight Riders,Arun Jaitley Stadium,18.0,152,3,46,1,166
Delhi Capitals,Mumbai Indians,Eden Gardens,7.8,45,5,69,0,114
Royal Challengers Bangalore,Kolkata Knight Riders,Rajiv Gandhi International Stadium,18.1,164,3,63,1,183
Delhi Capitals,Gujarat Titans,Wankhede Stadium,19.1,130,1,50,0,137
Royal Challengers Bangalore,Chennai Super Kings,Arun Jaitley Stadium,6.1,47,0,62,0,162
Sunrisers Hyderabad,Punjab Kings,Arun Jaitley Stadium,17.6,179,1,57,1,199
Kolkata Knight Riders,Chennai Super Kings,Narendra Modi Stadium,10.0,81,2,48,0,162
Lucknow Super Giants,Sunrisers Hyderabad,Narendra Modi Stadium,17.8,134,4,35,1,149
Rajasthan Royals,Gujarat Titans,MA Chidambaram Stadium,11.8,137,4,47,0,191
Punjab Kings,Kolkata Knight Riders,Arun Jaitley Stadium,10.2,110,3,46,1,192
Lucknow Super Giants,Gujarat Titans,Sawai Mansingh Stadium,8.5,94,2,33,0,184
Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium,10.1,87,3,30,2,158
Punjab Kings,Mumbai Indians,Narendra Modi Stadium,12.2,106,1,57,0,174
Chennai Super Kings,Lucknow Super Giants,Arun Jaitley Stadium,17.0,138,4,33,3,157
Gujarat Titans,Sunrisers Hyderabad,Eden Gardens,19.3,166,1,46,0,172
Rajasthan Royals,Gujarat Titans,Eden Gardens,11.1,116,2,51,0,203
Sunrisers Hyderabad,Gujarat Titans,Sawai Mansingh Stadium,19.4,208,6,32,0,210
Mumbai Indians,Chennai Super Kings,Feroz Shah Kotla,8.9,92,5,62,2,186
Rajasthan Royals,Kolkata Knight Riders,M Chinnaswamy Stadium,8.7,66,4,64,1,137
Lucknow Super Giants,Punjab Kings,Feroz Shah Kotla,9.0,86,3,56,1,157
Chennai Super Kings,Lucknow Super Giants,Narendra Modi Stadium,10.9,107,6,64,2,150
Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,12.9,98,5,69,2,146
Rajasthan Royals,Chennai Super Kings,Wankhede Stadium,7.0,61,1,54,1,209
Mumbai Indians,Delhi Capitals,Narendra Modi Stadium,6.6,69,1,33,1,221
Lucknow Super Giants,Mumbai Indians,Arun Jaitley Stadium,12.6,64,1,60,0,122
Royal Challengers Bangalore,Gujarat Titans,Punjab Cricket Association Stadium,16.0,186,2,61,1,214
Punjab Kings,Mumbai Indians,Arun Jaitley Stadium,6.9,52,3,49,2,157
Delhi Capitals,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,11.8,81,0,43,0,161
Punjab Kings,Kolkata Knight Riders,Narendra Modi Stadium,9.5,82,3,40,1,155
Punjab Kings,Mumbai Indians,MA Chidambaram Stadium,8.6,98,6,32,1,142
Rajasthan Royals,Royal Challengers Bangalore,Arun Jaitley Stadium,5.9,66,5,30,1,163
Chennai Super Kings,Sunrisers Hyderabad,Eden Gardens,6.5,77,1,48,1,221
Rajasthan Royals,Gujarat Titans,Feroz Shah Kotla,12.5,115,1,50,1,177
Delhi Capitals,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,18.4,137,3,63,2,152
Kolkata Knight Riders,Gujarat Titans,Eden Gardens,15.7,107,0,46,0,156
Gujarat Titans,Punjab Kings,Arun Jaitley Stadium,15.7,137,1,45,0,179
Delhi Capitals,Lucknow Super Giants,Punjab Cricket Association Stadium,14.8,95,2,43,2,124
Mumbai Indians,Delhi Capitals,Sawai Mansingh Stadium,13.1,92,4,47,0,145
Rajasthan Royals,Royal Challengers Bangalore,Feroz Shah Kotla,11.4,92,1,48,0,140
Sunrisers Hyderabad,Gujarat Titans,Punjab Cricket Association Stadium,9.5,66,1,47,1,156
Chennai Super Kings,Lucknow Super Giants,Wankhede Stadium,12.5,133,3,59,0,184
Gujarat Titans,Kolkata Knight Riders,Eden Gardens,8.3,62,4,69,1,167
Royal Challengers Bangalore,Chennai Super Kings,Arun Jaitley Stadium,15.6,159,2,47,2,189
Gujarat Titans,Chennai Super Kings,Eden Gardens,13.3,77,2,55,1,129
Lucknow Super Giants,Gujarat Titans,Narendra Modi Stadium,7.8,61,4,66,1,169
Punjab Kings,Chennai Super Kings,Rajiv Gandhi International Stadium,7.9,71,3,28,3,136
Delhi Capitals,Lucknow Super Giants,Sawai Mansingh Stadium,16.5,91,0,49,0,112
Sunrisers Hyderabad,Rajasthan Royals,Sawai Mansingh Stadium,11.1,66,1,34,1,145
Gujarat Titans,Lucknow Super Giants,Punjab Cricket Association Stadium,5.5,30,3,42,0,166
Sunrisers Hyderabad,Gujarat Titans,Arun Jaitley Stadium,10.3,104,6,67,1,160
Gujarat Titans,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,6.8,57,2,67,2,188
Gujarat Titans,Punjab Kings,Sawai Mansingh Stadium,12.0,76,1,31,1,144
Sunrisers Hyderabad,Delhi Capitals,Feroz Shah Kotla,11.6,82,2,39,2,157
Punjab Kings,Rajasthan Royals,Eden Gardens,10.6,90,2,42,1,158
Delhi Capitals,Chennai Super Kings,Feroz Shah Kotla,11.0,101,3,26,1,155
Royal Challengers Bangalore,Sunrisers Hyderabad,Punjab Cricket Association Stadium,15.1,153,3,59,1,198
Gujarat Titans,Delhi Capitals,Eden Gardens,14.7,161,3,59,1,188
Rajasthan Royals,Chennai Super Kings,Narendra Modi Stadium,14.9,100,3,33,0,132
Royal Challengers Bangalore,Delhi Capitals,M Chinnaswamy Stadium,13.2,112,1,32,1,173
Rajasthan Royals,Gujarat Titans,Arun Jaitley Stadium,15.2,96,3,59,0,143
Royal Challengers Bangalore,Chennai Super Kings,Punjab Cricket Association Stadium,9.4,90,4,66,2,164
Royal Challengers Bangalore,Punjab Kings,MA Chidambaram Stadium,17.6,139,1,32,1,154
Chennai Super Kings,Sunrisers Hyderabad,Punjab Cricket Association Stadium,11.5,86,3,65,1,134
Kolkata Knight Riders,Royal Challengers Bangalore,Punjab Cricket Association Stadium,14.7,97,1,31,0,135
Mumbai Indians,Delhi Capitals,Punjab Cricket Association Stadium,6.5,63,0,52,0,233
Gujarat Titans,Mumbai Indians,Sawai Mansingh Stadium,18.5,121,1,66,1,132
Kolkata Knight Riders,Delhi Capitals,Rajiv Gandhi International Stadium,6.1,47,3,36,0,179
Sunrisers Hyderabad,Royal Challengers Bangalore,Punjab Cricket Association Stadium,7.0,64,1,53,1,188
Lucknow Super Giants,Kolkata Knight Riders,Wankhede Stadium,12.1,86,2,45,0,136
Chennai Super Kings,Sunrisers Hyderabad,M Chinnaswamy Stadium,13.1,144,1,43,1,217
Royal Challengers Bangalore,Chennai Super Kings,Punjab Cricket Association Stadium,15.8,178,0,34,0,220
Kolkata Knight Riders,Punjab Kings,Punjab Cricket Association Stadium,13.3,69,2,37,1,139
Mumbai Indians,Delhi Capitals,Eden Gardens,10.0,68,2,59,0,122
Punjab Kings,Lucknow Super Giants,Rajiv Gandhi International Stadium,9.0,61,8,67,0,123
Royal Challengers Bangalore,Punjab Kings,Arun Jaitley Stadium,17.3,202,2,36,1,221
Mumbai Indians,Lucknow Super Giants,Punjab Cricket Association Stadium,11.4,99,2,32,0,154
Kolkata Knight Riders,Rajasthan Royals,Narendra Modi Stadium,13.4,140,1,58,0,218
Royal Challengers Bangalore,Rajasthan Royals,Eden Gardens,15.4,112,2,30,0,158
Mumbai Indians,Sunrisers Hyderabad,Narendra Modi Stadium,12.5,63,3,49,1,112
Rajasthan Royals,Lucknow Super Giants,Rajiv Gandhi International Stadium,8.5,57,3,49,1,142
Sunrisers Hyderabad,Mumbai Indians,Punjab Cricket Association Stadium,7.8,65,3,28,3,161
Gujarat Titans,Delhi Capitals,Feroz Shah Kotla,12.8,141,1,43,1,183
Rajasthan Royals,Gujarat Titans,M Chinnaswamy Stadium,7.1,52,4,45,0,142
Kolkata Knight Riders,Sunrisers Hyderabad,Punjab Cricket Association Stadium,10.4,94,1,69,1,208
Mumbai Indians,Sunrisers Hyderabad,Arun Jaitley Stadium,7.3,46,3,26,1,163
Chennai Super Kings,Kolkata Knight Riders,Punjab Cricket Association Stadium,14.3,163,3,55,2,211
Chennai Super Kings,Gujarat Titans,Eden Gardens,9.3,58,2,25,1,164
Rajasthan Royals,Punjab Kings,M Chinnaswamy Stadium,10.4,87,5,66,1,162
Delhi Capitals,Mumbai Indians,Feroz Shah Kotla,15.1,169,6,60,1,201
Mumbai Indians,Delhi Capitals,Arun Jaitley Stadium,10.7,127,2,54,0,210
Chennai Super Kings,Rajasthan Royals,Punjab Cricket Association Stadium,18.5,202,0,69,0,211
Sunrisers Hyderabad,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,7.5,81,0,35,0,221
Sunrisers Hyderabad,Chennai Super Kings,Eden Gardens,5.7,64,2,32,2,222
Rajasthan Royals,Royal Challengers Bangalore,Wankhede Stadium,13.5,133,2,37,1,195
Kolkata Knight Riders,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,10.7,73,0,57,0,165
Kolkata Knight Riders,Chennai Super Kings,Arun Jaitley Stadium,8.3,77,0,46,0,209
Royal Challengers Bangalore,Sunrisers Hyderabad,Feroz Shah Kotla,13.7,157,3,31,0,218
Sunrisers Hyderabad,Gujarat Titans,Wankhede Stadium,5.2,57,1,43,0,201
Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,14.9,125,0,54,0,187
Gujarat Titans,Delhi Capitals,Rajiv Gandhi International Stadium,9.7,49,4,45,1,141
Punjab Kings,Mumbai Indians,Punjab Cricket Association Stadium,9.2,98,4,55,1,195
Punjab Kings,Kolkata Knight Riders,Narendra Modi Stadium,7.8,89,2,39,0,209
Chennai Super Kings,Gujarat Titans,M Chinnaswamy Stadium,13.1,146,3,43,1,192
Royal Challengers Bangalore,Lucknow Super Giants,Narendra Modi Stadium,15.0,97,4,63,0,136
Sunrisers Hyderabad,Mumbai Indians,MA Chidambaram Stadium,19.2,176,2,60,0,183
Lucknow Super Giants,Kolkata Knight Riders,Arun Jaitley Stadium,5.3,58,1,51,1,186
Kolkata Knight Riders,Royal Challengers Bangalore,Punjab Cricket Association Stadium,9.5,76,2,69,1,162
Sunrisers Hyderabad,Chennai Super Kings,Rajiv Gandhi International Stadium,17.6,90,2,61,1,114
Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,14.3,161,3,59,1,205
Delhi Capitals,Sunrisers Hyderabad,M Chinnaswamy Stadium,6.2,62,3,34,2,194
